"Product Name","Quantity Sold"
"Paprikagryde m. Lupinpølser og Quinoa",21
"Tæmpeh Rendang m. Ris",8
"Tæmpeh Rendang m. Quinoa",14
"Ække Salat",13
"Paprikagryde m. Lupinpølser og Gurkemejeris",26
"Pulled Jackfruit BBQ Burger",33
"Kikærte Tunfrisalat",13
"Kikærte Nød’tella",13
"Svampe Shawarma i Rødbede Wrap",45
"Svampe ala Créme m. Squash",18
"Svampe ala Créme m. Spaghetti",54
"Rødbedebøf m. Rødvinssovs",18
"Rødbedebøf m. Blomkåls Bearnaise",31
"Kikærtekarry m. Gurkemejeris",12
"Vegansk Energibar- 4 stk",8
"Kikærtekarry m. Quinoa",11
Tarteletter,39
"Dhal m. Gurkemejeris",17
"Dhal m. Quinoa",4
"Middelhavs Bulgursalat m. Tzatziki",28
"Kartoffelsalat m. Syltede Radiser",14
"Kapowsalat m. Pintobønner",21
"WILD Relish – Butternut Squash",1
"WILD Relish – Rødbede",1
Trøffelbites,7
"Pulled Jackfruit BBQ Burger – Glutenfri",5
"Nordisk Kombucha – Humle",1
"Benjamissimo Chokolade – Coffee Time",1
"Benjamissimo Chokolade – Curcuma + Ginger & Lemon",3
"Benjamissimo Chokolade – Blue Spirulina",4
"Gro Koldpresset Shot – Ingefær – 515ml",1
"Plante Bolognese – Family (3-4 pers.)",8
"Tæmpeh Rendang – Family (3-4 pers.)",11
"Dhal – Family (3-4 pers.)",17
"Kikærtekarry – Family (3-4 pers.)",7
"Chili Sin Carne – Family (3-4 pers.)",7
"Tæmpeh i Karry m. Quinoa",11
"Tæmpeh i Karry m. Ris",24
"Bøf m. Brun Sovs og Bløde løg",15
"Fajita Bowl",50
"3 stk. Sambusa m. Chili Relish",9
"Dild-Delle m. Blomkåls Persillesovs",41
"Svampeburger m. Urtemayo",34
"Havredrik Kakao – 1L",8
"Havredrik 0.5% – 1L",1
"Havredrik 1.5% – 1L",2
"MorgenGrød m. Knas og Hindbær – 1 Uge",8
"MorgenGrød m. Knas og Choko – 1 Uge",1
"Gaia Granola m. Kokos – 1 Uge",1
"Gaia Granola m. Choko – 1 Uge",1
Klosterrugbrød,7
"Plante Bolognese m. Spaghetti",16
"Øf-Fri Salat",7
Nøddepostej,7
"Gullasch m. Kartoffelmos",58
"Plante Lasagne",45
"Plante Bolognese m. Squash",19
"Chili Sin Carne m. Quinoa",8
"Chili Sin Carne m. Gurkemejeris",17
"Gro Koldpresset Grøntsagsjuice – Rød",5
"Gro Koldpresset Grøntsagsjuice – Grøn",8
"Gro Koldpresset Grøntsagsjuice – Orange",4
"Gro Koldpresset Juice – Æble",7
"Nordisk Kombucha Havtorn",2
"Nordisk Kombucha Citronverbena",3
"Nordisk Kombucha Hindbær",4
"Nordisk Kombucha Aronia",3
